Age,Gender,Neuter_status,Breed_group,Weaning_age,Outdoors,Other_cats,Activity_level,Contact_people,Aggression_stranger,Aggression_owner,Aggression_cats,Shyness_novel,Shyness_strangers,Grooming,Wool_sucking,Behaviour_problem
1.5973,2,1,HCS,1,4,0,4,4,1,1,1,2,1,1.0,0.0,1.0
0.3479,2,1,HCS,4,4,0,4,5,1,1,1,2,1,1.0,5.0,1.0
5.7178,1,1,SBI,4,5,1,3,4,1,1,1,1,1,1.0,0.0,1.0
10.4274,2,1,SBI,4,3,1,3,3,1,1,1,1,2,1.0,0.0,1.0
0.9507,2,1,NFO,4,5,1,4,4,1,1,1,1,3,1.0,0.0,1.0
3.4411,2,1,BEN,4,2,1,4,4,1,1,1,2,1,1.0,2.0,1.0
16.8027,2,1,HCS,1,2,0,3,3,1,1,2,3,3,1.0,0.0,1.0
14.9041,2,1,RUS,7,2,1,4,5,1,1,2,3,3,3.0,0.0,1.0
10.8082,2,1,RUS,4,3,1,3,5,1,1,1,3,1,1.0,3.0,1.0
0.7644,1,0,KOR,5,3,1,4,4,1,2,3,2,1,1.0,0.0,1.0
21.5726,2,1,HCS,1,0,0,3,5,1,1,2,1,1,3.0,0.0,1.0
5.9726,2,1,RUS,8,3,1,4,5,1,1,2,2,2,1.0,0.0,1.0
5.3863,2,1,RUS,6,3,1,5,4,1,1,2,1,1,1.0,0.0,1.0
10.7041,2,1,SBI,4,0,1,3,3,1,1,1,2,3,1.0,0.0,1.0
9.3753,2,1,SBI,4,2,1,3,5,1,1,2,1,1,1.0,0.0,1.0
4.9452,1,1,SBI,4,2,1,4,5,1,1,1,1,1,1.0,2.0,3.0
3.2904,2,1,SBI,4,2,1,3,4,1,1,2,1,1,1.0,0.0,2.0
3.4822,2,1,SBI,4,2,1,3,4,1,1,1,2,2,1.0,0.0,1.0
4.1233,2,1,SBI,4,2,1,3,3,1,1,1,1,1,1.0,0.0,1.0
1.5014,2,1,SBI,8,2,1,4,4,1,1,1,1,1,1.0,4.0,1.0
2.9644,1,1,BUR,6,4,1,4,3,1,1,1,2,1,1.0,0.0,1.0
1.9479,2,1,BUR,6,4,1,5,5,1,1,1,1,1,1.0,0.0,1.0
5.9808,2,0,MCO,4,3,1,3,3,1,1,2,2,2,1.0,0.0,1.0
4.3726,2,0,MCO,4,3,1,3,1,1,1,3,2,2,1.0,0.0,1.0
1.9479,1,1,BUR,6,1,1,4,4,1,1,3,1,1,1.0,0.0,1.0
0.7041,2,0,MCO,4,3,1,4,3,1,1,1,1,1,1.0,0.0,1.0
2.1233,2,1,HCS,3,1,0,4,3,1,1,2,4,4,4.0,0.0,1.0
1.1041,1,0,SBI,4,5,0,5,5,1,1,1,2,1,2.0,0.0,1.0
0.6603,2,0,HCS,5,2,0,4,5,1,1,1,3,1,3.0,0.0,1.0
